ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
326,18,2016,3,1,5.25,0,22.0,10.1,1,1.528
327,19,2016,3,1,5.25,0,22.0,10.1,1,1.391
328,20,2016,3,1,5.25,0,22.0,10.1,1,1.808
329,21,2016,3,1,5.25,0,22.0,10.1,1,3.363
330,0,2016,3,1,5.5,0,22.0,10.1,1,-16.744
331,3,2016,3,1,5.5,0,22.0,10.1,1,0.821
332,4,2016,3,1,5.5,0,22.0,10.1,1,0.188
333,5,2016,3,1,5.5,0,22.0,10.1,1,2.958
334,8,2016,3,1,5.5,0,22.0,10.1,1,-4.014
335,9,2016,3,1,5.5,0,22.0,10.1,1,-6.991
336,10,2016,3,1,5.5,0,22.0,10.1,1,-5.951
337,13,2016,3,1,5.5,0,22.0,10.1,1,1.865
338,14,2016,3,1,5.5,0,22.0,10.1,1,0.517
339,15,2016,3,1,5.5,0,22.0,10.1,1,1.525
340,17,2016,3,1,5.5,0,22.0,10.1,1,0.999
341,18,2016,3,1,5.5,0,22.0,10.1,1,1.801
342,19,2016,3,1,5.5,0,22.0,10.1,1,1.214
343,20,2016,3,1,5.5,0,22.0,10.1,1,1.77
344,21,2016,3,1,5.5,0,22.0,10.1,1,2.933
345,0,2016,3,1,5.75,0,22.0,10.1,1,-17.146
346,3,2016,3,1,5.75,0,22.0,10.1,1,0.804
347,4,2016,3,1,5.75,0,22.0,10.1,1,0.205
348,5,2016,3,1,5.75,0,22.0,10.1,1,3.027
349,8,2016,3,1,5.75,0,22.0,10.1,1,-4.056
350,9,2016,3,1,5.75,0,22.0,10.1,1,-6.991
351,10,2016,3,1,5.75,0,22.0,10.1,1,-6.0
352,13,2016,3,1,5.75,0,22.0,10.1,1,1.739
353,14,2016,3,1,5.75,0,22.0,10.1,1,0.592
354,15,2016,3,1,5.75,0,22.0,10.1,1,1.676
355,17,2016,3,1,5.75,0,22.0,10.1,1,1.024
356,18,2016,3,1,5.75,0,22.0,10.1,1,1.554
357,19,2016,3,1,5.75,0,22.0,10.1,1,1.201
358,20,2016,3,1,5.75,0,22.0,10.1,1,1.922
359,21,2016,3,1,5.75,0,22.0,10.1,1,3.325
360,0,2016,3,1,6.0,0,22.0,10.1,1,-18.193
361,3,2016,3,1,6.0,0,22.0,10.1,1,0.923
362,4,2016,3,1,6.0,0,22.0,10.1,1,0.257
363,5,2016,3,1,6.0,0,22.0,10.1,1,3.369
364,8,2016,3,1,6.0,0,22.0,10.1,1,-4.526
365,9,2016,3,1,6.0,0,22.0,10.1,1,-7.283
366,10,2016,3,1,6.0,0,22.0,10.1,1,-6.146
367,13,2016,3,1,6.0,0,22.0,10.1,1,2.066
368,14,2016,3,1,6.0,0,22.0,10.1,1,0.504
369,15,2016,3,1,6.0,0,22.0,10.1,1,1.55
370,17,2016,3,1,6.0,0,22.0,10.1,1,1.024
371,18,2016,3,1,6.0,0,22.0,10.1,1,1.905
372,19,2016,3,1,6.0,0,22.0,10.1,1,1.441
373,20,2016,3,1,6.0,0,22.0,10.1,1,1.909
374,21,2016,3,1,6.0,0,22.0,10.1,1,3.199
375,0,2016,3,1,6.25,0,22.0,10.1,1,-18.354
376,3,2016,3,1,6.25,0,22.0,10.1,1,0.992
377,4,2016,3,1,6.25,0,22.0,10.1,1,0.342
378,5,2016,3,1,6.25,0,22.0,10.1,1,3.625
379,8,2016,3,1,6.25,0,22.0,10.1,1,-4.911
380,9,2016,3,1,6.25,0,22.0,10.1,1,-7.064
381,10,2016,3,1,6.25,0,22.0,10.1,1,-6.439
382,13,2016,3,1,6.25,0,22.0,10.1,1,2.029
383,14,2016,3,1,6.25,0,22.0,10.1,1,0.454
384,15,2016,3,1,6.25,0,22.0,10.1,1,1.789
385,17,2016,3,1,6.25,0,22.0,10.1,1,1.125
386,18,2016,3,1,6.25,0,22.0,10.1,1,1.645
387,19,2016,3,1,6.25,0,22.0,10.1,1,1.075
388,20,2016,3,1,6.25,0,22.0,10.1,1,1.846
389,21,2016,3,1,6.25,0,22.0,10.1,1,3.351
390,0,2016,3,1,6.5,0,22.0,10.1,1,-19.159
391,3,2016,3,1,6.5,0,22.0,10.1,1,1.112
392,4,2016,3,1,6.5,0,22.0,10.1,1,0.376
393,5,2016,3,1,6.5,0,22.0,10.1,1,3.899
394,8,2016,3,1,6.5,0,22.0,10.1,1,-5.466
395,9,2016,3,1,6.5,0,22.0,10.1,1,-7.027
396,10,2016,3,1,6.5,0,22.0,10.1,1,-6.585
397,13,2016,3,1,6.5,0,22.0,10.1,1,1.953
398,14,2016,3,1,6.5,0,22.0,10.1,1,0.428
399,15,2016,3,1,6.5,0,22.0,10.1,1,1.789
400,17,2016,3,1,6.5,0,22.0,10.1,1,1.239
401,18,2016,3,1,6.5,0,22.0,10.1,1,1.784
402,19,2016,3,1,6.5,0,22.0,10.1,1,1.29
403,20,2016,3,1,6.5,0,22.0,10.1,1,2.175
404,21,2016,3,1,6.5,0,22.0,10.1,1,2.908
405,0,2016,3,1,6.75,0,22.0,10.1,1,-19.642
406,3,2016,3,1,6.75,0,22.0,10.1,1,1.214
407,4,2016,3,1,6.75,0,22.0,10.1,1,0.547
408,5,2016,3,1,6.75,0,22.0,10.1,1,4.275
409,8,2016,3,1,6.75,0,22.0,10.1,1,-5.978
410,9,2016,3,1,6.75,0,22.0,10.1,1,-6.881
411,10,2016,3,1,6.75,0,22.0,10.1,1,-6.78
412,13,2016,3,1,6.75,0,22.0,10.1,1,2.016
413,14,2016,3,1,6.75,0,22.0,10.1,1,0.454
414,15,2016,3,1,6.75,0,22.0,10.1,1,1.915
415,17,2016,3,1,6.75,0,22.0,10.1,1,1.214
416,18,2016,3,1,6.75,0,22.0,10.1,1,1.871
417,19,2016,3,1,6.75,0,22.0,10.1,1,1.214
418,20,2016,3,1,6.75,0,22.0,10.1,1,1.833
419,21,2016,3,1,6.75,0,22.0,10.1,1,2.845
420,0,2016,3,1,7.0,0,22.0,10.1,1,-20.93
421,3,2016,3,1,7.0,0,22.0,10.1,1,1.317
422,4,2016,3,1,7.0,0,22.0,10.1,1,0.581
423,5,2016,3,1,7.0,0,22.0,10.1,1,4.343
424,8,2016,3,1,7.0,0,22.0,10.1,1,-6.32
425,9,2016,3,1,7.0,0,22.0,10.1,1,-7.466
426,10,2016,3,1,7.0,0,22.0,10.1,1,-7.122
427,13,2016,3,1,7.0,0,22.0,10.1,1,2.533
428,14,2016,3,1,7.0,0,22.0,10.1,1,0.517
429,15,2016,3,1,7.0,0,22.0,10.1,1,1.991
430,17,2016,3,1,7.0,0,22.0,10.1,1,1.378
431,18,2016,3,1,7.0,0,22.0,10.1,1,1.693
432,19,2016,3,1,7.0,0,22.0,10.1,1,1.366
433,20,2016,3,1,7.0,0,22.0,10.1,1,1.808
434,21,2016,3,1,7.0,0,22.0,10.1,1,3.3
435,0,2016,3,1,7.25,0,22.0,10.1,1,-21.896
436,3,2016,3,1,7.25,0,22.0,10.1,1,1.385
437,4,2016,3,1,7.25,0,22.0,10.1,1,0.684
438,5,2016,3,1,7.25,0,22.0,10.1,1,4.189
439,8,2016,3,1,7.25,0,22.0,10.1,1,-6.234
