ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
315,0.0,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,17.146
316,0.143,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,0.77
317,0.19,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,0.205
318,0.238,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,2.873
319,0.381,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,3.886
320,0.429,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,7.21
321,0.476,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,6.146
322,0.619,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,1.852
323,0.667,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,0.479
324,0.714,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,1.688
325,0.81,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,0.999
326,0.857,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,1.528
327,0.905,0.0,0.0,0.0,0.221,0.0,0.812,0.27,0.0,1.391
