ID,hour,holiday,maxtemp,mintemp,load
689,0.179,0,0.623,0.74,15.778
690,0.189,0,0.623,0.74,16.341
691,0.2,0,0.623,0.74,16.1
692,0.211,0,0.623,0.74,16.02
693,0.221,0,0.623,0.74,16.583
694,0.232,0,0.623,0.74,16.261
695,0.242,0,0.623,0.74,16.744
696,0.253,0,0.623,0.74,15.698
697,0.263,0,0.623,0.74,16.986
698,0.274,0,0.623,0.74,17.146
699,0.284,0,0.623,0.74,17.951
700,0.295,0,0.623,0.74,18.274
701,0.305,0,0.623,0.74,19.722
702,0.316,0,0.623,0.74,21.091
703,0.326,0,0.623,0.74,22.459
704,0.337,0,0.623,0.74,23.184
705,0.347,0,0.623,0.74,25.358
706,0.358,0,0.623,0.74,28.658
707,0.368,0,0.623,0.74,28.739
708,0.379,0,0.623,0.74,28.98
709,0.389,0,0.623,0.74,30.51
710,0.4,0,0.623,0.74,29.785
711,0.411,0,0.623,0.74,30.429
712,0.421,0,0.623,0.74,30.831
